2023-58-24 01:58:41
N_eng	k_pcs	k_tank	mu_sa	k_extra	eta_pcs	k_sa	m_platform	m_eng	m_engines	m_fsts	m_pcs	m_sa	m_saos	m_eos	m0	m_f_main	m_f_extra	m_fuel	p_platform	p_eng	p_engines	p_burt_0	p_burt	p_fsts_0	p_fsts	p_pcs	p_saos	p_eos	p_sa	p0	RE	RL	mu0	mu1	h0	h1	R0	R1	J	Vgis	F	track	dt0	eta	m0_iter_cnt	eng_name	platform_name
100	0.007	0.1	0.014	0.05	0.1	1.1	140	4	400	84.1152719420414	94.5	2314.158	10	10	3893.92598462942	801.097828019442	40.0548914009721	841.152719420414	250	1350	135000	10	500	20	1000	13500	10	10	165297	150270	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.205730111764228	6	ВЧИД-8	Карат
1	0.007	0.1	0.014	0.05	0.1	1.1	140	4	4	5.67868752467066	0.945	27.489	10	10	254.899561882476	54.0827383301968	2.70413691650984	56.7868752467066	250	1350	1350	10	10	20	20	135	10	10	1963.5	1785	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.212172739453872	5	ВЧИД-8	Карат
2	0.007	0.1	0.014	0.05	0.1	1.1	140	4	8	6.41811801262732	1.89	50.358	10	10	290.847276108748	61.1249334535935	3.05624667267967	64.1811801262732	250	1350	2700	10	10	20	20	270	10	10	3597	3270	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.210161615647172	4	ВЧИД-8	Карат
3	0.007	0.1	0.014	0.05	0.1	1.1	140	4	12	7.19877078113995	2.835	73.689	10	10	327.710445878362	68.5597217251424	3.42798608625712	71.9877078113995	250	1350	4050	10	20	20	40	405	10	10	5263.5	4785	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.209208228139881	4	ВЧИД-8	Карат
4	0.007	0.1	0.014	0.05	0.1	1.1	140	4	16	7.97415326804275	3.78	96.558	10	10	364.05365929903	75.9443168385023	3.79721584192512	79.7415326804275	250	1350	5400	10	20	20	40	540	10	10	6897	6270	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.208607481064	4	ВЧИД-8	Карат
5	0.007	0.1	0.014	0.05	0.1	1.1	140	4	20	8.76700711862944	4.725	119.889	10	10	401.051049520587	83.4953058917089	4.17476529458545	87.6700711862944	250	1350	6750	10	30	20	60	675	10	10	8563.5	7785	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.208191216533453	4	ВЧИД-8	Карат
6	0.007	0.1	0.014	0.05	0.1	1.1	140	4	24	9.54842884347927	5.67	142.758	10	10	437.460683554391	90.9374175569454	4.54687087784727	95.4842884347927	250	1350	8100	10	30	20	60	810	10	10	10197	9270	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.207875635401276	4	ВЧИД-8	Карат
7	0.007	0.1	0.014	0.05	0.1	1.1	140	4	28	10.3447258722575	6.615	166.089	10	10	474.495954529313	98.5211987834045	4.92605993917022	103.447258722575	250	1350	9450	10	40	20	80	945	10	10	11863.5	10785	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.207633379890741	4	ВЧИД-8	Карат
8	0.007	0.1	0.014	0.05	0.1	1.1	140	4	32	11.1283736803871	7.56	188.958	10	10	510.930078430955	105.984511241781	5.29922556208907	111.283736803871	250	1350	10800	10	40	20	80	1080	10	10	13497	12270	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.207434472378795	4	ВЧИД-8	Карат
9	0.007	0.1	0.014	0.05	0.1	1.1	140	4	36	11.9261500047988	8.505	212.289	10	10	547.981615840018	113.582380998084	5.6791190499042	119.261500047988	250	1350	12150	10	50	20	100	1215	10	10	15163.5	13785	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.207274072185743	4	ВЧИД-8	Карат
10	0.007	0.1	0.014	0.05	0.1	1.1	140	4	40	12.7108886714399	9.45	235.158	10	10	584.427742774817	121.056082585142	6.05280412925708	127.108886714399	250	1350	13500	10	50	20	100	1350	10	10	16797	15270	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	3800	0	0.009	TrackNS.Track	100	0.207136098656742	4	ВЧИД-8	Карат
1	0.007	0.1	0.014	0.05	0.1	1.1	140	1.23	1.23	47.3459927227002	0.1575	8.4315	10	10	690.624917639333	450.914216406668	22.5457108203334	473.459927227002	250	225	225	10	10	20	20	22.5	10	10	602.25	547.5	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	860	0	0.014	TrackNS.Track	100	0.652907540532951	8	СПД-50	Карат
2	0.007	0.1	0.014	0.05	0.1	1.1	140	1.23	2.46	47.0623179985876	0.315	12.243	10	10	692.70351114777	448.212552367501	22.4106276183751	470.623179985876	250	225	450	10	10	20	20	45	10	10	874.5	795	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	860	0	0.014	TrackNS.Track	100	0.647048188950044	6	СПД-50	Карат
3	0.007	0.1	0.014	0.05	0.1	1.1	140	1.23	3.69	47.7434967453817	0.4725	16.5165	10	10	705.857470005597	454.699969003635	22.7349984501817	477.434967453817	250	225	675	10	20	20	40	67.5	10	10	1179.75	1072.5	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	860	0	0.014	TrackNS.Track	100	0.644180997333682	6	СПД-50	Карат
4	0.007	0.1	0.014	0.05	0.1	1.1	140	1.23	4.92	48.5453979622652	0.63	20.328	10	10	719.877459821545	462.337123450145	23.1168561725072	485.453979622652	250	225	900	10	20	20	40	90	10	10	1452	1320	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	860	0	0.014	TrackNS.Track	100	0.642244200234796	5	СПД-50	Карат
5	0.007	0.1	0.014	0.05	0.1	1.1	140	1.23	6.15	49.5910129533095	0.7875	24.6015	10	10	737.040212120735	472.29536146009	23.6147680730045	495.910129533095	250	225	1125	10	30	20	60	112.5	10	10	1757.25	1597.5	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	860	0	0.014	TrackNS.Track	100	0.640799991225883	5	СПД-50	Карат
6	0.007	0.1	0.014	0.05	0.1	1.1	140	1.23	7.38	50.5795840113379	0.945	28.413	10	10	753.113487218316	481.710323917504	24.0855161958752	505.795840113379	250	225	1350	10	30	20	60	135	10	10	2029.5	1845	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	860	0	0.014	TrackNS.Track	100	0.639625145602874	5	СПД-50	Карат
7	0.007	0.1	0.014	0.05	0.1	1.1	140	1.23	8.61	51.7364295840152	1.1025	32.6865	10	10	771.49976879328	492.727900800145	24.6363950400073	517.364295840152	250	225	1575	10	40	20	80	157.5	10	10	2334.75	2122.5	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	860	0	0.014	TrackNS.Track	100	0.638662408895898	5	СПД-50	Карат
